comments,time per comment,user per comment,likes per comment,source,comment date
"Hi, I am trying to make the annual subscription using PayPal but am not able.",3w,sammie_njau,0,datacamp,2024-01-01
Great work ❤️❤️❤️❤️❤️,7w,credslife_,1,datacamp,2023-12-04
❤️❤️❤️,7w,sadie.stlawrence,1,datacamp,2023-12-04
Awesome 👏🏻,5w,mahmoud_arafa90,0,datacamp,2023-12-18
Great to be on the show,6w,margahoek,0,datacamp,2023-12-11
I throw in Langchain and Llamaindex and Neo4j,4w,jomorante,0,datacamp,2023-12-25
As a millionaire who is living his best live.I was also suffering at a time and knows how hard it is to pay bills. I’ll be giving grands each to assist the first 10 lucky people to hit me up with “GOD DID” love y’all,4w,javiercryptonary_010,0,datacamp,2023-12-25
"I love datacamp, and I also tried it several times. Your content is always found to be insightful. I am just thinking about a magazine or anything else which can provide a comprehensive overview of what we find in 2023 or all past years and where the world will go in the future especially what will be trends in 2024.",4w,insightswisdomer,2,datacamp,2023-12-25
I can’t see any button to download the white paper . On the other hand I couldn’t find any white paper on your website? What should I do ?,3w,mymindisamessss,0,datacamp,2024-01-01
Estoy teniendo problemas para suscribirme a la oferta,7w,edson19_gutierrez,1,datacamp,2023-12-04
👏👏👏,7w,credslife_,1,datacamp,2023-12-04
Está en español?,7w,camilorv02,1,datacamp,2023-12-04
Wonderful,5w,mahmoud_arafa90,0,datacamp,2023-12-18
🙌🙌🙌,5w,endlesslearner_,0,datacamp,2023-12-18
Amazing! 👏👏👏,7w,credslife_,1,datacamp,2023-12-04
Paris is always a great idea! ❤️❤️❤️,8w,credslife_,0,datacamp,2023-11-27
Ai Leaders! Yeah!! 🔥🔥🔥🔥🔥,5w,credslife_,0,datacamp,2023-12-18
Linux🔥🔥🔥👏👏👏,6w,coding2c,0,datacamp,2023-12-11
I had no idea DataCamp tracks that. I’m gonna be top 5%. Saving this post,5w,delvecchiooo,1,datacamp,2023-12-18
I applied for the scholarship but i didnt receive any response,3w,ahme.dleader,1,datacamp,2024-01-01
We are so excited for this opportunity 🦋,3w,codetoinspire,2,datacamp,2024-01-01
👏,3w,omiguelsma,1,datacamp,2024-01-01
👏👏👏👏,3w,digitalbricks.ai,1,datacamp,2024-01-01
I’m so proud of you @fereshtehforough 🔥🙌,3w,ehsanehrari,2,datacamp,2024-01-01
Really I hope to start learning python but I’m leazy 😂,5w,mahmoud_arafa90,1,datacamp,2023-12-18
Yes!🔥,8w,alanarodriguezv,0,datacamp,2023-11-27
It’s all about putting things into production! Love this! ❤️❤️❤️,8w,credslife_,0,datacamp,2023-11-27
It’s the same price as two weeks ago.,6w,sl8onc,0,datacamp,2023-12-11
Trying to subscribe and make payment but system failing. Kindly assist as per DM shared.,6w,liyandza,0,datacamp,2023-12-11
Open source for the win!! 👏👏👏,5w,credslife_,0,datacamp,2023-12-18
niceeee,6w,vitoandreanto,0,datacamp,2023-12-11
🔥🔥🔥👏👏👏,6w,coding2c,0,datacamp,2023-12-11
