post likes,post date,post caption,comments,time per comment,user per comment,likes per comment,num of comments
178,"Dec 7, 2023","Unlock a rewarding career in real estate! Enroll in the NEW Real Estate Agent Professional Certificate from one of the top names in the industry— @kellerwilliamsrealty. You’ll learn the practical skills you need to prepare for your state’s licensing exam and participate in the first real estate Professional Certificate on Coursera!

Comment “KELLER” below, and we’ll DM you more details.

#RealEstate #RealEstateAgent #LearnWithoutLimits #KellerWilliams","['Keller', 'Open the door to new possibilities in real estate - a journey of learning, growth, and professional excellence awaits!', 'Keller', 'Keller']","['5w', '5w', '5w', '5w']","['emayatt', 'seyedshahabmehdinia', 'lynnlynn31303', 'princessa.gy']","['0', '1 like', '1 like', '1 like']",4
206,"Dec 26, 2023","Thinking about going back to school? It has the potential to boost your career possibilities—and your income, too 💰 Here are a few things to consider as you figure out what's best for you.

Comment “BACK TO SCHOOL” below, and we’ll DM you more details.

#backtoschool #degree #newcareer #careerchange","['Embarking on educational journeys not only elevates careers but also enriches minds, paving the way for endless possibilities.', ""Do certifications, exams, trainings and earn a perfect skill. Don't waste years of going back to school, to achieve nothing. Go to technical or trade colleges where you can study, get skills and be your own boss.""]","['2w', '2w']","['seyedshahabmehdinia', 'fikunademii']","['2 likes', '1 like']",2
141,"Nov 17, 2023","Your path to leadership in engineering starts here! Join the Master's in Engineering Management from #Uniandes. Enroll now at the link in bio! 🚀🏗️

¡Tu camino hacia el liderazgo en ingeniería comienza aquí! Inscríbete a la Maestría en Gerencia de la Ingeniería de #Uniandes ¡Da el primer paso ahora!","['A stellar opportunity to ascend in the engineering management realm – a journey towards innovative leadership!', 'module 6 here i go 🔥🔥🔥', '🔥🔥🔥🔥', '👏👏👏']","['8w', '8w', '8w', '8w']","['seyedshahabmehdinia', 'andrew_de_oliveira', 'andrew_de_oliveira', 'extrolopers']","['1 like', '1 like', '1 like', '1 like']",4
204,"Nov 5, 2023","You can earn your degree without quitting your job. See how to start with a single online course through @CUBoulder, @illinois1867, or @_londonu on Coursera.

Comment “PBA” below, and we’ll send you a DM with more info.

#onlinelearning #degree #coursera","['Embarking on a journey of lifelong learning while seamlessly integrating education into the fabric of daily life embodies the true spirit of advancement and accessibility. Thank you Coursera!', 'PBA', 'PBA', 'PBA', 'Of course this is a win-win solution 👏', 'PBA', 'PBA', 'PBA', 'PBA', 'PBA', 'PBA', 'PBA', 'PBA', 'PBA', '👏👏']","['10w', '10w', '10w', '10w', '10w', '10w', '10w', '10w', '9w', '6w', '10w', '10w', '10w', '10w', '9w']","['seyedshahabmehdinia', 'jem3rson', 'david.mukendi97', 'theecothor', 'jaybodstorage', 'ayrtomvr', 'alexbuschati', 'msumi02', 'chichi_obi39', 'vagagwo', 'ichbin_faizanali', '3xtt.05', 'mmicaaahh', 'person.common', 'espagnolaveclara']","['3 likes', '1 like', '1 like', '1 like', '1 like', '1 like', '1 like', '1 like', '1 like', '1 like', '1 like', '1 like', '1 like', '1 like', '1 like']",15
248,"Nov 24, 2023","Prepare for leadership positions in organizations and industries where technology plays an important role with @illinoistech's flexible, 100% online MBA program - complete it in just 1-2 years!

Comment “IT MBA” below, and we’ll DM you more info.

#MBA #OnlineLearning #BusinessSchool #OnlineDegree","['‘ITMBA’', 'IT MBA', 'IT MBA', 'IT MBA', 'IT MBA', 'IT MBA', 'IT MBA', 'IT MBA', ""Empowering future leaders with the fusion of technology and business acumen – @illinoistech's online MBA is a beacon of modern education! Thank you, @Coursera!""]","['7w', '7w', '7w', '7w', '7w', '7w', '7w', '7w', '6w']","['i_m_shan___', 'eleftheriastefanidi_', 'elvis_rock17', 'rafammoreno', 'iacristian', 'shaz_4555', 'nikkhilmordia', 'mohamad_pha', 'seyedshahabmehdinia']","['1 like', '1 like', '1 like', '1 like', '1 like', '1 like', '1 like', '1 like', '1 like']",9
186,"Nov 3, 2023",How do you prepare for a job interview? Tell us in the comments below ⬇️,"['Meticulous research, methodical practice, and a mindset anchored in confidence pave the way for interview success.', ""Present the 30-60-90 day plan of action, this helps in creating an impact that you'll add value right from the beginning. Having a well tailored resume. Preparing for the Tell me about yourself question. Research about the organisation."", ""Choose general topics for the interview , be vigilant, be conscious, understand questions then answers, to the point answers don't go in depth, eye to eye contact, provide answers with examples, try to guship ، with recruiter , don't move him to go to Interview Questions, try to answers in such a way that , recruiter will ask questions from your answers you gave, which you already know"", 'Choose general topics instead for specific,', 'DM me for free Coursera courses and Coursera assignment solutions']","['10w', '9w', '10w', '10w', '10w']","['seyedshahabmehdinia', 'hr__bites', 'umer.023', 'umer.023', 'shamik_debnath_12']","['3 likes', '1 like', '1 like', '1 like', '0']",5
130,"Jan 6, 2024","🌍 Escucha de primera mano la experiencia de nuestros estudiantes de la Maestría en Salud Pública Global dando forma al futuro de la salud pública en el mundo con la @ucatolicaoficial.

🌍 Hear firsthand from these Master in Global Public Health students about their transformative journey, as they prepare to shape the future of public health worldwide with @ucatolicaoficial.

Comment “CHILE” below, and we’ll DM you more details.

#PublicHealth #HealthForAll #GlobalHealth #SaludPública #SaludParaTodos #SaludGlobal","[""These students' experiences in the Master in Global Public Health program exemplify the pivotal role of education in empowering future leaders to make impactful contributions to global health."", 'Amazing 🙌']","['1w', '1w']","['seyedshahabmehdinia', 'eng4careers']","['2 likes', '1 like']",2
333,"Nov 20, 2023","Get ahead in the growing field of tech with an online Bachelor's degree in Data Science & Artificial Intelligence from @iitgwt - ranked 7th in India's top engineering institutes.

Comment “IIT” below, and we’ll DM you more info.

#TechCareer #DataScience #AI #IITGuwahati #OnlineLearning","['An empowering opportunity to delve into the dynamic realms of Data Science and AI, shaping the future of technology.', 'IIT', '“IIT”', '8w', 'IIT', 'IIT', 'IIT', 'IIT', 'IIT', 'IIT', 'IIT', 'IIT', 'IIT', 'IIT', 'IIT', 'iIT']","['7w', '7w', '7w', '88duendame', '8w', '8w', '8w', '7w', '8w', '7w', '7w', '8w', '8w', '7w', '7w', '8w']","['seyedshahabmehdinia', 'paddyarohchisom', '__motunrayomi', 'Reply', '88duendame', 'amitskedia', '__rahul_natekar', 'damien_dinero', 'itxbhutta.ai', 'abilfathalfariziq', 'an__jot', 'omarelsaraj', 'miltonguy2020', 'maxhawksworth', 'she_engineer55', 'niki.choudhary.395']","['1 like', '1 like', '1 like', 'IIT', '1 like', '1 like', '1 like', '1 like', '1 like', '1 like', '1 like', '1 like', '2 likes', '1 like', '1 like', '1 like']",16
689,"Dec 1, 2023","Ready to learn a lot in a little? Finish the year strong with these FREE top-rated courses you can complete in 8 hours or less! Which one (or three?) will you take?

Comment “FREE” below, and we’ll DM you more details.

#freecourses #onlinelearning #coursera #onlinecourses","['FREE', 'FREE', 'Empowering and enriching, these bite-sized courses are perfect for ending the year on a high note of learning and achievement!', 'FREE', 'FREE', 'FREE', 'Free', 'FREE', 'Free', 'FREE', 'FREE', 'Free', 'FREE', 'FREE', 'FREE']","['6w', '6w', '6w', '6w', '6w', '6w', '6w', '6w', '6w', '6w', '6w', '6w', '6w', '6w', '6w']","['__purple_vibes_.07', 'moukhles_k', 'seyedshahabmehdinia', 'abilfathalfariziq', 'cal.gfd', 'amish_m_rao', 'adahsrahh', 'mayowa7077', 'natban12', 'remote.sailor.11', 'mehmood.ahmed.abbasi', 'sidra_sawas1', 'vivek_india_', 'viegas16', 'rogue_ninja_0_0_7']","['2 likes', '2 likes', '1 like', '2 likes', '1 like', '1 like', '1 like', '1 like', '1 like', '1 like', '2 likes', '2 likes', '1 like', '2 likes', '2 likes']",15
204,"Jan 13, 2024","Meet Ayomide who’s #LearningFrom Nigeria!

“As a Compliance and Risk Officer within my company, I knew I would need to proactively expand my expertise by engaging in diverse courses. After enrolling in
@Google's cybersecurity program, I've boosted my ability to conduct comprehensive risk assessments, adhere to CIA's triad principles, and gain a stronger command of Microsoft Excel for data presentation.

I’m committed to completing all the courses I’ve started, and I recognize that learning is a lifelong pursuit. Every day offers new discoveries, and I’m excited to continue pursuing knowledge. To my fellow Coursera learners, never stop growing, and be resilient! Learning isn't a destination but a journey. Sky’s the limit!”

—

Want your learner story to be featured? Comment “MY STORY” below and we’ll DM you more info!","['Your customer support is POOR. I reached out for an assistance a couple of times, there was no headway.', 'MY STORY', 'MY STORY', 'My story']","['2d', '2d', '1d', '2d']","['the.princessanne', 'christopherlifesaver', 'theboyxavi09', 'fatolahabeeb']","['2 likes', '0', '0', '1 like']",4
