post likes,post date,post caption,comments,time per comment,user per comment,likes per comment,num of comments,source,num of followers
228,"Dec 19, 2023","Transform your data science skills with our comprehensive #Python cheat sheet library. 🐍

👉 Each cheat sheet is designed to provide value to Python programmers of all levels, whether you're just starting out or already have advanced skills.

Full of practical insights and real-world use cases that will enable you to stay ahead of the curve—keep up to date with the latest news, techniques, and advancements in Python heading into 2024. 📈

Download any PDF for free and keep the power of Python at your fingertips ➡️ 🔗 in bio.","['Hi, I am trying to make the annual subscription using PayPal but am not able.']",['3w'],['sammie_njau'],['0'],1,datacamp,199000.0
158,"Nov 14, 2023","Master machine learning and AI in Python with our collection of free cheat sheets. 👇

As the AI revolution gathers pace, having the skills to integrate AI and machine learning into your data science workflows will help you stay competitive in an evolving field.

Save these down as a handy reference guide:

💥 Scikit-Learn Cheat Sheet: Python Machine Learning: https://ow.ly/MqAq50Q7tQ4

💥 Keras Cheat Sheet: Neural Networks in Python:
https://ow.ly/pZQg50Q7tQ3

💥 The OpenAI API in Python: https://ow.ly/hLr650Q7tQ2

💥 Deep Learning with PyTorch Cheat Sheet: https://ow.ly/Lw2S50Q7tQ7",[],[],[],[],0,datacamp,199000.0
96,"Nov 21, 2023","🎓 90,000 scholarships now donated
🌍 across 150 countries
📚 we've helped 1 MILLION teachers, students, and disadvantaged learners
👩🏽‍💻 with unlimited data and AI learning for each, for free.

This is the #DCDonates Q3 2023 Digest: A reflection on our mission to democratize data and AI education by providing free access to in-demand skills to those who need it most.

👉 Swipe through for Q3 highlights. 👉

Looking back at our third biggest quarter for scholarships—alongside reaching 1 million learners—the surging demand for data and AI learning makes us more determined to expand our free program and enhance #DCDonates' impact.

Currently, most partner orgs come from NGOs in Nigeria, Pakistan, Egypt, and the Philippines. For Q4 2023, our goal is to help more disadvantaged learners in the Western Hemisphere while still providing for our current partners.

Learning is one of the most effective long-term strategies to improve lives. If you're a nonprofit looking to empower your community with unlimited data and AI learning—including 450+ courses, career tracks, and certifications—please apply to partner by 9 AM ET on Thurs, Feb 1, 2024.

Here's to Q4, 2024, and beyond. Discover more, 🔗 in bio.

Apply now 👉 https://ow.ly/l1Cg50Q9YLa","['Great work ❤️❤️❤️❤️❤️', '❤️❤️❤️']","['7w', '7w']","['credslife_', 'sadie.stlawrence']","['1 like', '1 like']",2,datacamp,199000.0
31,"Nov 13, 2023","What can “The Geek Way” teach us when forming the ideal company culture?

Andrew McAfee—Principal Research Scientist at @mit the inaugural Visiting Fellow at @google’s Technology and Society organization, and prolific writer—explores the four cultural norms of The Geek Way, the evolutionary biological traits high-performing organizations show, how data drives high-performance teams, and more.

Key takeaways:

💥 Focus on group dynamics: Create norms and values that align with the organization’s goals, encouraging collaboration and knowledge sharing among teams.

💥 Lead by example: Embrace data-driven decision-making and encourage others to do the same.

💥 Challenge hierarchical decision-making: Encourage a culture where evidence and examination are valued over hierarchical authority.

🎧 Listen to the full episode, 🔗 in bio.",[],[],[],[],0,datacamp,199000.0
89,"Dec 7, 2023","Learn #AI (for free) from leaders at world-class organizations. 👇

The quality of responses from GPT or other large language models highly depends on the quality of messages you send.

Tap into Olivier Mertens', AI Tech Lead at Microsoft, vital code-along on performing sentiment analysis with #GPT and #LangChain. Learn about how MRKL prompts are used to help LLMs reason and build a simple AI agent.

Get this for free in our new AI Developer Code-Along series.

All sessions are free for a limited time. Start now 👉 🔗.

#ArtificialIntelligence #ChatGPT",[],[],[],[],0,datacamp,199000.0
168,"Dec 5, 2023","One of the best ways to land a job in data science is to build a portfolio with data science projects that effectively show your technical skills.

With the boom of #ChatGPT, showing the recruiter that you can solve NLP problems is vital for up-and-coming practitioners. 🚀

Explore seven examples of NLP projects for all levels, from the aspiring data scientist to the experienced professional.

👉 Swipe for a selection of DataCamp's NLP projects. 👉

Discover more 👉🔗 in bio.",[],[],[],[],0,datacamp,199000.0
79,"Dec 7, 2023","Brand new skill track: Equip yourself with the knowledge and tools necessary to make an immediate impact in the fast-paced world of Artificial Intelligence (AI). 🚀

Designed for professionals who want to harness AI to stay ahead of the competition, work through seven interactive courses (no prior experience required) on AI strategy to ensure you'll be at the forefront of the AI revolution heading into 2024.

👉 Swipe for the individual courses. 👉

Start now for free, 🔗 in bio.",['Awesome 👏🏻'],['5w'],['mahmoud_arafa90'],['0'],1,datacamp,199000.0
84,"Nov 30, 2023","How the world can change in one year: #ChatGPT is one year old today. 🎂

Dive into our collection of resources to ensure you're maximizing the AI revolution. Alongside, our brand new code-along series connects aspiring and seasoned developers alike with industry experts to master four vital packages: #OpenAI API, #HuggingFace, #Pinecone, & #LangChain.

In the spirit of ""Open AI"", it's completely free.

1️⃣ Cheat Sheet: ChatGPT for Data Science: https://ow.ly/QTAu50Qe5xi

2️⃣ Tutorial: A Guide to Using ChatGPT For Data Science Projects: https://ow.ly/futc50Qe5xh

3️⃣ Code-Along Series: Become an AI Developer: https://ow.ly/JHHw50Qe5xj

#GenerativeAI #ArtificialIntelligence",[],[],[],[],0,datacamp,199000.0
28,"Nov 23, 2023","Large language models (LLMs) can be incredibly transformative for surfacing company data and insights. However, the path to enriching a company's knowledge base with LLMs still needs to be explored.

@Deloitte's Gert De Geyter, Machine Learning Lead, and Somayeh Koohbor, Senior Data Scientist, break down the interaction between LLMs and Knowledge Graphs (KGs). They demonstrate how LLMs can transform unstructured text into a well-formed KG by extracting entities and relationships from a dataset, how companies can leverage them, and more.

Key takeaways:

💥 How LLMs can unlock the potential of building organizational KGs.
💥 Why KGs can further guide LLMs' reasoning capabilities.
💥 Using pre-trained models for translating natural language queries to SPARQL queries on top of company KGs

⏰ Thurs Nov 30, 🔗 in bio to register.",[],[],[],[],0,datacamp,199000.0
32,"Nov 27, 2023","How can data and AI help us accelerate sustainable solutions and act as a force for good? 💚

@margahoek's—sustainable business visionary, author, and three-time CEO—explores the fourth industrial revolution and the eight technologies that combine to build it, how technology can be the biggest lever to combating climate change, use cases of tech for good initiatives, and more.

Key takeaways:

💥 AI extends beyond replicating human intelligence; it's crucial in enhancing technologies like self-driving cars, systems to prevent overfishing, monitoring plant life, and more.

💥 Get ready for labor transition: The World Economic Forum predicts that AI and emerging technologies will disrupt 25% of jobs.

💥 Collaboration among stakeholders is essential for trust in tech for good initiatives. Business leaders must commit to using technology ethically.

Listen to (or watch) the full episode 👉 https://ow.ly/UCwb50QbHoW",['Great to be on the show'],['6w'],['margahoek'],['0'],1,datacamp,199000.0
258,"Dec 11, 2023","The top 10 data science tools you can use in 2024. 👇

The landscape of data science is growing rapidly, and many tools are available to help data scientists with their work. Explore how these tools can assist you in ingesting, cleaning, processing, analyzing, visualizing, and modeling data.

Read on to uncover:

💥 The role of data science tools
💥 Criteria for selecting data science tools
💥 Comprehensive review of top data science tools for 2024
💥 Hands-on projects and resources

Dive in 👉 🔗 in bio.","['I throw in Langchain and Llamaindex and Neo4j', 'As a millionaire who is living his best live.I was also suffering at a time and knows how hard it is to pay bills. I’ll be giving grands each to assist the first 10 lucky people to hit me up with “GOD DID” love y’all']","['4w', '4w']","['jomorante', 'javiercryptonary_010']","['0', '0']",2,datacamp,199000.0
91,"Dec 16, 2023","Explore the pivotal year for #ChatGPT and #GenerativeAI with our review of 2023's top 17 AI milestones. 👇

It's been just over a year since the release of ChatGPT. Since then, the pace of progress in AI has been unparalleled—from DALLE-3's image generation and advanced data analysis to GPT-4 Turbo, and more.

Uncover the key moments from a year we'll never forget.

Dive in 👉 🔗 in bio.","['I love datacamp, and I also tried it several times. Your content is always found to be insightful. I am just thinking about a magazine or anything else which can provide a comprehensive overview of what we find in 2023 or all past years and where the world will go in the future especially what will be trends in 2024.']",['4w'],['insightswisdomer'],['2 likes'],1,datacamp,199000.0
231,"Dec 20, 2023","Heading into 2024, 97% of business owners anticipate #ChatGPT will bring positive transformations to their organization, and 60% of workers are predicted to use AI to perform tasks. 📈

If you're an aspiring data professional, AI enthusiast, or looking to improve your productivity—now is the time to build AI skills.

Uncover everything you need in an AI-driven era, including:

💥 What is AI?
💥 Why learn AI right now?
💥 How long does it take to learn?
💥 How to learn AI from scratch
💥 An example AI learning plan
💥 Top 5 tips for learning AI
💥 The different careers in AI
💥 How to find a job in AI
💥 Mastering AI for business

Discover more 👉🔗 in bio.",[],[],[],[],0,datacamp,199000.0
73,"Dec 21, 2023","How will business and L&D leaders approach the data and AI skills revolution in 2024? 📈 👇

Although generative AI has permeated the mainstream in 2023, its adoption in general business practice is still lacking. The race of AI adoption—both technologies and skills—remains agenda-toping for most organizations looking to gain a competitive edge heading into 2024.

🗣 As Jason Feifer, Editor in Chief of @entrepreneur and DataFramed guest, indicates: “The most exciting generative AI use-cases are use-cases that save them time, enabling people to liberate their time and focus on tasks that can help create long-term value.”

Download our free report on the data and AI trends that will shape 2024, focussing on how businesses and individuals can keep pace with the AI revolution and succeed in a new era.

Download now 👉 🔗 in bio.",['I can’t see any button to download the white paper . On the other hand I couldn’t find any white paper on your website? What should I do ?'],['3w'],['mymindisamessss'],['0'],1,datacamp,199000.0
166,"Nov 28, 2023","Calling all #Python learners—our top 5 guided Python projects to boost your confidence and portfolio before 2024. 🐍👇

Go from learning to doing, faster. From historical events to international sports and TV network analysis, uncover five real-world projects to apply your skills and complete data analysis from start to finish—all in a risk-free environment.

Including:

1️⃣ Dr. Semmelweis and the discovery of handwashing: https://ow.ly/O6pP50Pi1qL

2️⃣ Exploring the Bitcoin cryptocurrency market: https://ow.ly/r80350Pi1vK

3️⃣ A network analysis of Game of Thrones: https://ow.ly/AuxQ50Pi1A0

4️⃣ Hypothesis testing with men's and women's soccer matches: https://ow.ly/LAHX50Qc9F3

5️⃣ Investigating Netflix Movies: https://ow.ly/b9ke50Pi1Nx

Looking for something else? Our collection of 100+ projects is waiting for you 👉🔗 in bio.",[],[],[],[],0,datacamp,199000.0
42,"Nov 22, 2023","While data and AI practitioners often focus on the technical aspect of their job, good design is essential if you want users to adopt your data or AI product.

@joannapenabickley, Chief Design Officer for the Design Corp at Designed By, breaks down design fundamentals, how good design can help your data product, and how data and design teams can work together.

Key takeaways:

💥 Understand what every data professional should know about design.
💥 Best practices for designing data and AI products.
💥 How data professionals can work with designers to create great products.

⏰ Weds Nov 29, 🔗 in bio to join.",[],[],[],[],0,datacamp,199000.0
129,"Dec 7, 2023","With an estimated 750 million to 1.2 billion users, @microsoft Excel is the tool of choice for reporting for professionals around the world.

As experience with #Excel is often a baseline expectation in a professional environment, demonstrating proficiency in Excel is vital to landing the job you've been aspiring for.

Dive into beginner, intermediate, and advanced interview questions about Excel to help you pass the technical challenge with flying colors.

Go into your next interview with confidence. Start now 👉 🔗 in bio.",[],[],[],[],0,datacamp,199000.0
73,"Nov 24, 2023","The #OpenAI API lets you build AI systems with the most advanced AI systems in the world today such as GPT-4, ChatGPT, and DALLE-3—enabling organizations to leverage AI tools tailored to their specific business needs.

Aimed at aspiring data scientists and machine learning practitioners, discover the world of OpenAI and its API. From setting up your OpenAI account to harnessing the API for customized responses, uncover everything you need to know to get started.

Including:

💥 An overview of OpenAI and its API
💥 OpenAI API features
💥 Industry Use-cases of OpenAI API
💥 Hands-on: getting started with OpenAI API
💥 Best practices when using OpenAI API

Discover more, 🔗 in bio.",[],[],[],[],0,datacamp,199000.0
51,"Nov 24, 2023","💥 #BlackFriday: 50% off unlimited learning.💥

Learn the world's most in-demand data and AI skills to set yourself up for success in 2024.

Whether you want to enhance your skills with generative AI, develop your Business Intelligence abilities to fast-track your next promotion, become a master coder, or a machine learning leader—our 450+ course curriculum will equip you with the skills you need to thrive in the age of data and AI.

Activate offer and unlock:

📚 Courses for all levels in ChatGPT and Generative AI, Python, R, SQL, Power BI, and more.

🛠 100+ hands-on data science and AI portfolio-building projects, 20+ skill and career tracks, and more.

🎓 Build an unmissable CV with Forbes' #1 ranked data certification program.

Limited time offer. 🔗 in bio.","['Estoy teniendo problemas para suscribirme a la oferta', '👏👏👏', 'Está en español?']","['7w', '7w', '7w']","['edson19_gutierrez', 'credslife_', 'camilorv02']","['1 like', '1 like', '1 like']",3,datacamp,199000.0
91,"Dec 6, 2023","🎓 Brand new Certification: Demonstrate your SQL skills are ready for professional use with our SQL Associate Certification.

Designed in partnership with industry experts with experience in hiring SQL professionals across industries, the SQL Associate Certification is for anyone working in a job involving SQL.

🛠 What skills does a SQL Associate need?

You should be proficient in writing basic SQL queries for data retrieval, understand how to structure and join tables, and grasp critical concepts like primary and foreign keys.

Across a series of timed exams and one practical assessment, you'll need to:

💥 Calculate metrics to effectively report using PostgreSQL.
💥 Assess data quality and perform validation tasks.
💥 Perform data extraction, joining, and aggregation tasks.

Verify your skills to work with data in a data-driven world.

Discover more 👉🔗 in bio.","['Wonderful', '🙌🙌🙌']","['5w', '5w']","['mahmoud_arafa90', 'endlesslearner_']","['0', '0']",2,datacamp,199000.0
125,"Nov 22, 2023","An introduction to DALL-E 3: Can we all become creative media powerhouses? 👇

OpenAI's recent release, DALL-E 3, is said to improve on the limitations of its predecessors, DALL-E and DALL-E 2—alongside generating media more accurate to the prompt than Midjourney. 👀

Explore everything you need to know about DALL-E 3, including:

💥 What is DALL-E 3?
💥 DALL-E 3 features and capabilities
💥 Accessibility and release
💥 Getting started with DALL-E 3
💥 Using DALL-E 3 for image generation
💥 Advanced techniques
💥 Practical applications and use cases
💥 Ethical considerations and safety measures

Discover more 👉 🔗 in bio.",[],[],[],[],0,datacamp,199000.0
253,"Nov 23, 2023","60+ #ChatGPT prompts to enhance your data science tasks. 🚀

ChatGPT is a transformative tool for workflows. But are you utilizing it to the best of your abilities?

Explore our free 72-page #ChatGPT cheat sheet for data science, covering:

👉 Prompts for data analysis workflows
👉 Prompts for data visualization workflows
👉 Prompts for machine learning workflows
👉 Prompts for time series analysis workflows
👉 Prompts for NLP workflows
👉 Conceptual and career-oriented prompts

Download in full, 🔗 in bio.",['Amazing! 👏👏👏'],['7w'],['credslife_'],['1 like'],1,datacamp,199000.0
57,"Nov 16, 2023","Brand new project: Deploy your AI programming skills with #OpenAI's API. 🇫🇷

As a developer at a leading tech company, your assignment is to construct a comprehensive AI-powered Parisian travel guide.

From start to finish, utilize OpenAI's language processing capabilities to answer pre-defined travel-related queries intelligently, offering customized recommendations for exploring Paris.

Learn by doing. Start now 👉 🔗 in bio.",['Paris is always a great idea! ❤️❤️❤️'],['8w'],['credslife_'],['0'],1,datacamp,199000.0
37,"Dec 8, 2023","Fine-tuning models lets you customize them for new tasks.

By fine-tuning GPT3.5, you can improve the accuracy of its response, use it to find a particular tone of voice, talk about niche topics, and more.

In the first of this two-part series, Zoumana Keita, Senior Data Scientist at @ifc_org and Co-founder at #ETP4Africa, explains how to use the OpenAI API and Python to get started fine-tuning GPT3.5.

Key takeaways:

💥 Learn when fine-tuning large language models can be beneficial.
💥 How to use the fine-tuning tools in the OpenAI API.
💥 Understand the workflow for fine-tuning.

⏰ Fri Dec 15, 🔗 in bio.",[],[],[],[],0,datacamp,199000.0
88,"Dec 4, 2023","Learn for free from AI leaders at @microsoft, #Pinecone, @huggingface_ai, and @fidelity, in our AI Developer Code-Along series.

Across 1-2 hour sessions, master skills and packages that will enhance your CV and broaden your developer career, including #OpenAI API, #HuggingFace, #Pinecone, and #LangChain.

👉 Swipe for the series breakdown. 👉

Free only for a limited time. ⚡️ 🔗 in bio.",['Ai Leaders! Yeah!! 🔥🔥🔥🔥🔥'],['5w'],['credslife_'],['0'],1,datacamp,199000.0
