post likes,post date,post caption,comments,time per comment,user per comment,likes per comment,num of comments
67,"Jan 12, 2024","For your business idea that needs a little ✨guidance✨⁠
⁠
This Learning Path will help all solopreneurs out there build their idea, brand it, and launch it into the 🌎 ⁠
⁠
Start now at our link in bio!⁠
⁠
#solopreneur #sidehustle #skillshare",[],[],[],[],0
"1,304","Dec 12, 2023","Believe it or not, @jordan_rose_illustrations you’re not alone 😅","['Hahaha so true 😂 i feel u😢', 'So relatable. Same expressions 😂🤣♥️', '😂😂😂😂👍', 'Add another 10years and I hear you😂🙌', 'Can relate 😅', 'Ohhh i have been there. These young techies make me feel so old😂.ps. i just hit 30', '😂😂😂', 'True! 😶\u200d🌫️', '😂😂😂', '👏', '😂😂', 'I am 40 watching 20-30 year olds. lol I often wonder if this is how my Grandma (90) feels when I tell her about computers. 😂', 'Sad reality 😂', '4w', '😂totally!', '😂😂😂']","['4w', '4w', '4w', '4w', '4w', '4w', '4w', '4w', '4w', '4w', '4w', '4w', '4w', '1hugaday', '4w', '4w']","['printsopedia', 'ultimate.goldfish', 'ultimate.goldfish', 'calinadesign', 'tinascribble', 'art_ismisafura', 'vii_09', 'hodiyann', 'tessuti_africani_suomiifabrics', 'artsensegirl', 'simonipdraws', 'perky_palette', 'thecreativeplatform', 'Reply', '1hugaday', 'dani_remen']","['0', '0', '0', '1 like', '1 like', '1 like', '0', '1 like', '1 like', '1 like', '1 like', '2 likes', '1 like', '😂totally!', '0', '0']",16
183,"Oct 23, 2023","Unearth the magic of nature-inspired DIY watercolor paint with artist @adelinejuliebee! Immerse yourself in this class (presented in French 🇫🇷) where you’ll master the art of crafting your very own watercolors from natural pigments.

Learn the intricacies of pigment preparation, vibrant mixing, texture crafting, and follow step-by-step guidance to create your own stunning wreath. 🎨

🏷️ #watercolor #botanical #watercolortutorial #watercolorartist #skillshare",[],[],[],[],0
138,"Jan 4, 2024","[GIVEAWAY CLOSED] New year, new goals, new gifts 🎁 Enter to win an iPad Pro + 2x free tickets to a Skillshare Live Session of your choice, and follow your creative dreams in 2024.

Get started on Skillshare to enter ⛄️ Link in bio!

Eligibility: No purchase necessary. First-time Skillshare users, US only. Must be 18 years of age or older. Winner will be randomly selected by January 26, 2024. Official giveaway rules: https://skl.sh/gift23li","['I have already signed up', 'Wow wow wow', 'Shoulda waited to sign up for this 😂', 'How about a giveaway for loyal subscribers?', 'Does i have to be new to skillshare? Or is this giveaway open to existing users?', 'GASP', ""A little sad that I'm based in europe""]","['2w', '2w', '3w', '4w', '4w', '4w', '4w']","['kalakritibykeerty', 'kalakritibykeerty', 'art_of_cristo', 'dottiesamm', 'shabnamfathima_mk', 'eggbunni', 'mbart.png']","['0', '0', '0', '1 like', '0', '1 like', '1 like']",7
251,"Jan 4, 2024",Stepping into the new year like this animation by @Gabi_jardine 🪄 #aftereffectsedit #aftereffects #photoshop #skillshare,[],[],[],[],0
"1,101","Oct 25, 2023","Want to grow your freelance business? Marketing consultant @isisbreanna has some helpful tips for you 🚀

📨 Make your first email count
🎥 Batch creating content helps keep you consistent
💭 Get to know yourself before selling to others

Dive into her new classes on Skillshare to get all the tips you need to define and attract your dream audience! Tap the link in bio now to learn with Isis 👆 #marketing #entrepreneur #smallbiz #skillshare","['I love it 😍😍😍', 'Love itttttt 🔥🔥🔥🔥', ""I'm doing this course today and I'm feeling so inspired and motivated to get back on track creating content to promote my business! Thank you! ❤️"", 'I greatly appreciate your tips. It is exactly what I need. 🥰❤️', 'Yesss to all of this!!!', 'Yaaay. Off to find it 🔥🔥', 'Global Genius Isis 🙌😍', '🔥🔥 so great to see you killing it!', 'Realistic actionable tips 🙌🏾🙌🏾🤌🏾', 'She’s amazing! Can’t wait to check this out! 🔥', 'Awesome sugar. I jumped on it real fast 😂', '@iamsymphoniepoaty she reminds me so much of you! I love her and you lol! ❤️', '👏👏👏', 'Awesome!!! Need this❤️', 'So damn proud of you Isis!!! ❤️😢']","['10w', '11w', '11w', '11w', '11w', '11w', '11w', '11w', '11w', '11w', '11w', '11w', '11w', '11w', '11w']","['aboutmylife_sb', 'studios_africa', 'cafehenry.studio', 'viralprimenet', 'courseswithcrisha', 'debbyokoye_', 'destiny_nwebe', 'improve_my_pronunciation', 'lashaynaria', 'hellopaulinalm', 'blackgirlbossaffirmations', 'vee_alexei', 'aunatherlevel', 'asiabmontgomery', 'keeps_it1cayy']","['0', '0', '0', '0', '0', '1 like', '1 like', '0', '1 like', '1 like', '1 like', '1 like', '1 like', '1 like', '1 like']",15
"1,639","Dec 21, 2023",ICYMI: Learn to use Procreate Dreams from our teachers @LisaBardot @design_with_smit @dannifs @thepigeonletters 💚 Check out Procreate x Skillshare Live Sessions at our link in bio.,"['Really exciting to use this one😍', 'Garbage ass company that tricks people into paying for a membership. Do not support skillshare. They don’t care about their customers and there’s tons of free/cheaper resources to learn with. Support the artists directly from their websites and patreons, etc.', '😍😍', 'I might just teach myself how to animate all 2024 🔥']","['3w', '3w', '3w', '3w']","['shakybash1', 'manno_chromatic', 'ruby.hunt3r', 'luey2point0']","['0', '3 likes', '0', '1 like']",4
169,"Dec 6, 2023","Since @sophiajcarey found film, they haven’t spent a day apart 🎞

🏷 #mamiya #film #filmcamera #filmphotographer #photographer","['👏🏽👏🏽👏🏽', '👏👏👏🔥', '🔥🔥 @sophiajcarey', '🔥🔥🔥', '@sophiajcarey so good!', '❤️❤️❤️']","['5w', '5w', '5w', '5w', '5w', '5w']","['sentrosifilm', 'jen_py13', 'darnelltemenu', 'vincentperryjr', 'rmota.co', 'sophiajcarey']","['0', '0', '0', '0', '1 like', '0']",6
975,"Nov 28, 2023","There’s truly nothing as satisfying as watching a gelli image transfer made by @Froyleart 🖼 Learn to make your own at our link in bio!

🏷 #imagetransfer #gelliprintimagetransfer #collage #gelliprint #gelliprinting #gelliarts #makingcollage #mixedmediaartist #skillshare","[""It's perfect! How long did you let it dry before you pulled the print off the gelli plate?"", 'Can u use fabric printing ink a@d pop onto a t shirt? Would it work?', 'Shut up!🙌🙌 That was cool. ❤️', 'Oh no, it looks amazing! But do I need another art project, well yes! Lol', 'Very nice !! What magazine did you use pls...it never works when I try...😢', '👌👌👌', 'ooh I love this', '@andreaokesonart', 'So crazy how that works!!']","['1w', '6w', '6w', '6w', '6w', '7w', '7w', '7w', '7w']","['blue_glass_panda', 'debbbateman', 'christinephillipsfashiondesign', 'anner7drex', 'boonritabo', 'malihe.amade.art', 'mysticalmanifest', 'agoodwinter', 'lyn_notline']","['1 like', '1 like', '1 like', '1 like', '1 like', '1 like', '2 likes', '3 likes', '2 likes']",9
353,"Jan 11, 2024",Text the group chat: it’s time to throw a paint night 🎨 Follow along @biancarayala’s class at our link in bio! #watercolor,"['Stunning! 😮', 'Beautiful 😍', 'She is an amazing teacher 🫶']","['2d', '4d', '4d']","['dsweet55', 'valsaa_artnsoul', 'artica_katherine']","['0', '0', '1 like']",3
