post likes,post date,post caption,comments,time per comment,user per comment,likes per comment,num of comments
"1,099","Sep 23, 2023",A fine accomplishment ✨,"['The best platform to learn online 🔥🔥', 'omg that was funny 😆', 'Estão vendo minha imagem', '👏👏👏', 'U demy show', '😂🙌', 'Omg I love this!!', 'two pretty best friends ✨']","['16w', '16w', '16w', '15w', '16w', '16w', '16w', '16w']","['wilkensondevariste', 'mohammedabdoabdelrahman', 'johnnmusk', 'liadermbeauty', 'investingblueprintsocial', 'rishatrehan', 'hannahshirley', 'rosemnguyen']","['3 likes', '1 like', '1 like', '0', '1 like', '1 like', '1 like', '1 like']",8
667,"Nov 7, 2023","Groucho Marx said, “Practically everybody in New York has half a mind to write a book, and does.” But when designer @aaronbunge moved to NYC, his mind was set on something different — learning more Spanish.

Aaron used a combination of @duolingo and in-person learning at NYU, but still couldn’t wrap his head around verb conjugation rules. As a designer, his mind immediately went to how he could solve this problem visually through an app.

He originally looked into hiring freelancers to help him on this project, but when he saw the price tag, he decided a DIY approach was more his style. It wouldn’t be easy, but Aaron was at a point in his career where he was able to take some time off work to focus on his own language app.

Aaron discovered courses on Udemy teaching the exact app development skills he needed including React Native, SQL, and MongoDB. He loved his instructors’ unique personalities and gained a solid understanding of how to use data, style everything, and get the app on people’s phones.

In less than a year, Aaron went from a basic understanding of HTML and CSS to creating one of the best iOS and Android Spanish conjugation apps on the market — @visualverbs_spanish.

What’s more is that all the skills Aaron learned to create the app put him in position to land a new full-time design position at a pronunciation app for ESL learners.

As for his own app, Aaron continues to tinker and optimize it with future plans to add verb conjugation for French and Italian.

He may not even know those languages yet, but with his #AlwaysLearning mindset, we wouldn’t bet against his success.

P.S. If you’re curious about what Udemy courses Aaron took, check out:

-The Complete React Native + Hooks Course, by Stephen Grider
-React Native - The Practical Guide, by Maximilian Schwarzmüller

#AlwaysLearning","[""I want to start content creating but I don't have money for good camera I don use phone but it is not clear"", 'Al❤️ LLP', 'share your story with us at the link in bio!', '8w', '🔥', 'Muy admirable su trabajo 😸']","['9w', '9w', '10w', '2079harrisx', '8w', '10w']","['iamsunny_castro0147', 'jit_u2104', 'udemy', 'Reply', '2079harrisx', 'rauuluuar']","['0', '0', '3 likes', '🔥', '0', '1 like']",6
571,"Aug 7, 2023","Sometimes all you need is a big, deep breath. Thanks for the tip, @markusamanto!","['🔥', '🔥', 'love seeing the sweater! it is the best made sweater i have! @udemy', 'Where to get sweatee?', 'needed this today🙌', '💰💰💰💰Video reviewer, part-time online job, no requirements, go link. 💰💰💰💰']","['23w', '23w', '22w', '23w', '23w', '23w']","['kasana_irshad', 'kasana_irshad', 'lindsaymarshdesign', 'ninjapig91', 'mollyemain', 'claire12103']","['0', '0', '0', '0', '0', '1 like']",6
"1,074","Sep 18, 2023","AI scream, you scream, we all scream for ice cream!

Last week, our team had the pleasure of hosting an ice cream pop-up during Dreamforce 2023, where we chatted about emerging generative AI technology over some free ice cream!

We were able to delight folks with insights on our extensive generative AI course collection, and even offer a bonus sweet treat as a cherry on top. 🍦","['Your website is down for playing videos', '🔥🔥🔥 great collection', 'U cream', '😂😂🍦🍦', '👏👏👏👏👏👏']","['17w', '17w', '16w', '17w', '17w']","['rxfvel', 'kasana_irshad', 'si.gracias.50', 'xblock_buildingblocks', 'chris_were_oficial']","['0', '0', '0', '0', '0']",5
407,"Sep 1, 2023","It's ok, we give you permission","['💯', 'Great way to start the day 🔥🙌', 'Beautiful message', 'Haha I need to close some \'Windows\' in order to open the ""Windows"" and enjoy the day']","['14w', '19w', '19w', '19w']","['nullclasstraining', 'fo_coding', 'xp_labs', 'anonymous_ip_05']","['0', '0', '0', '2 likes']",4
783,"Aug 4, 2023",Wise words from @cecimansilla.capacitacion: Learning 👏 leads 👏 to 👏 career 👏 growth 👏,"['You better learn how to build a business so your life doesn’t depend on a salary job', '🔥', 'Das facts !!!', 'Grande Ceci 👏🏼', '💯💯', '🫶🏻🎉🤓', 'Great advice👏', 'Bravo @cecimansilla.capacitacion 👏🏻🎉']","['23w', '23w', '23w', '23w', '23w', '23w', '23w', '23w']","['chrispetas23', 'kasana_irshad', 'gracehatakeyama', 'asanchezcorbalan', 'rishatrehan', 'personas_que_trabajan', 'mollyemain', 'joanamengual7']","['0', '1 like', '3 likes', '1 like', '1 like', '1 like', '1 like', '1 like']",8
667,"Oct 4, 2023","Today we announced a new partnership with @dockerinc, where together we’ll provide an unmatched experience to help developers gain the skills they need to efficiently build, share and run applications.

Docker developers will get easier access to the learning and skills they need to stay ahead of the latest technology through dedicated Udemy learning paths and immediate access to new product training through the Docker Certified Instructor program. Read all about it at the link in bio.","['Link 🔗🖇️', 'Excellent news.', 'Docker & Udemy 🤝🎓']","['8w', '14w', '14w']","['itxbhutta.ai', 'johnnynotcarsontho', 'dockerinc']","['0', '1 like', '0']",3
"10,011","Aug 3, 2023",Are we speaking your language?,"['If you’re tired take a nap, or else you’ll burn out', 'I need a break deciphering this', 'else - oppenheimer', ""If you're tired, then take a nap, or else explode. 👍"", '""if you are tired go to sleep, else explode your head"" didnt uderstand the message but.. sure', 'Swift programmer be like 😂', 'Sort of.. I speak fluently penguin language and python', 'Everyone need a break 😂', ""I'm sleepy but I'm at work 😣"", 'If else {\nConsole.log(“no more Udmey 😔”)\n}', 'Essa lógica tá errada', 'as a Linux admin: su - udemy -c “bash ./giveonefreecourse.sh” 😂😂😂', 'Off corse 🙌', '🤯🫵🏻', 'Se você com sono, então durma, senão Oppenheimer']","['23w', '23w', '23w', '23w', '23w', '23w', '23w', '23w', '23w', '23w', '23w', '23w', '23w', '23w', '23w']","['shadowystruggle', 'aranfasha', 'hafsa.zuhra', 'itsjustankit', 'nonstop_fellow', 'solid_ice17', 'denis.irimia.54', 'diatsilva', 'sadia_zar', 'fr.saad7', 'davifontenele_', 'jon_nerd_geek_gamer', 'zhra.al1995', 'minou_james700', 'yedulima']","['2 likes', '5 likes', '91 likes', '80 likes', '1 like', '9 likes', '1 like', '4 likes', '4 likes', '4 likes', '6 likes', '0', '3 likes', '2 likes', '1 like']",15
521,"Aug 29, 2023","Have you been meaning to reach out to a mentor recently? Here’s your sign to go for it!

Well said, @cecimansilla.capacitacion 💯","['Having a mentor is one sure way to keep climbing the leather of learning. Am on a search of a mentor too.', 'There is alot of scammers here in Nigeria', 'How to find a mentor in Udemy?', 'How do I find a mentor', 'Yes', 'We’re having issues purchasing your course in Nigeria 🇳🇬', 'Fak you ma nigga', '@hussnainali5']","['18w', '19w', '19w', '11w', '19w', '19w', '19w', '19w']","['gypsywestline', 'ayshatbello34', 'shovidutta', 'bigfryjay', 'ayshatbello34', 'hoodbeely', 'wearezoh', 'kisaa_zainab18']","['0', '0', '0', '0', '0', '1 like', '0', '0']",8
441,"Sep 6, 2023","Do the skills you're learning match up with what's surging across the globe? Swipe to find out.

More on trending skills at the link in our bio!",['Hi @udemy can you please unlock my account'],['11w'],['sunilsingh9959'],['0'],1
